content,score
Mantap 🔥,5
"Gatau kenapa, dari kemarin tuh aku gabisa buat postingan. Error mulu, Instagram tidak menanggapi lah, atau cuma bisa satu foto. Padahal udah di update. Sinyal ada. Tolong di perbaiki pliss🥲",1
Dukun aku buat menjangkau bintang direels,5
ada apakah selalu for close pas mau membuka aplikasi Instagram nya,1
Good,5
Sangat bermanfaat sekali,5
Sangat mudah digunakan apk ny loading ny tidak lam walaupun hp berat,4
Ok,5
Jos,5
Tiga dulu,3
"Bagus sih bagus tapi sejak update banyak fitur lama yg bagus tapi malah hilang saran juga fitur ""mention"" balikin plis perlu bgt kalau misalnya lupa tag orang",4
antariksa.who,5
keren,5
Aplikasinya sangat bagus,5
Bagus bgt tpi knp sih filter nya banyak yng di hapus kan filter kesayangan ku jdi ilang tpi gpp😁,5
Bagus,5
Upload banyak suka mental.Ini lg coba pembaharua mulu.,1
Waktu Saya Sudah Penya IG Saya Sangat Senang Dan BisA Lihat Vidio Menarik Salam dari jawa tengah grobongan,5
Apklasi nya sangat bgss,3
"Satu platform digital untuk berkomunikasi dengan banyak orang, ada tiga pilihan berbagi feed, story dan reel.",5
I love youuu,4
Tetap sukses selalu buat para pengguna IG... 💪🏻☺,5
Instagram nya bagus👍👍👍,5
Menyenangkan,5
"Bagus ,waktu itu saya pernah pake APLIKASI Instagram pake hp yang lama",5
Instagram Ngestuck di Depan dan tidak ad tanggapan padahal Jaringan bagus,3
Sangat bagus,2
ig gampang banget gangguan aplikasi tidak menanggapi,1
sangat bagus,5
Terbaik,5
saya senang menggunakan instagram,5
nice,5
Baguss bangett✨✨✨,4
bagus...,5
Mantabbbb,5
Sangat bagus,5
kaga sukaa soal nya suka nyaa kamuu💗💗😚😚,1
Total like dan komen gak muncul angkanya,3
PERBAIKI SEMULA YA IG KASIAN PDD KAMI STRESSSSS KARENA MASANG FEED IG BUAT KEBUTUHAN KAMPUS DAN YANG LAINNYA,1
Media yg baik. Beberapa teman khusus,5
Good,5
Bagus,5
"dari kemarin sampai sekarang instagram saya eror padahal sinyal jaringan saya lancar, penyimpanan kosong, data sudah dicoba ulang dan dinyalakan lagi tapi tetap eror. saat saya buka aplikasi lain semuanya lancar dan tidak ada kendala namun ig saya sangat error dan tidak dapat memproses semuanya. tolong cepat perbaiki",1
top instagram,5
Sangat puas,5
makin update kok makin tidak enak di pandang ya untuk UI/UXnya?,2
Baik,5
"Baik sih ,semoga ig ga hapus arsip",4
Hari ini akun ig bnyak yang kena hack. Terutama akunnya bima_wendatama di hack orang buat nipu. Pinjam uang lewat ovo 350rb . Gimana ya tolong buat App IG di amananin lagi dong,1
tolong perbaiki lagi biar ga lelet,5
Keren,5
